"account","type","role_name","calls"
"651295191577","AssumedRole","terraform-20251111063951773200000003","10494"
"693590665244","AssumedRole","terraform-20251111060049796700000002","10458"
"362055466028","AssumedRole","AWSServiceRoleForResourceExplorer","1647"
"693590665244","AssumedRole","AWSServiceRoleForResourceExplorer","1078"
"693590665244","AssumedRole","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","737"
"045107234435","AssumedRole","terraform-20250412151641556400000001","516"
"151676528673","AssumedRole","AWSServiceRoleForResourceExplorer","491"
"693590665244","AssumedRole","AWSReservedSSO_AdministratorAccess_fcf6a3206be2735b","480"
"693590665244","AssumedRole","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","461"
"045107234435","AssumedRole","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","395"
"693590665244","AssumedRole","cdk-hnb659fds-deploy-role-693590665244-us-east-1","362"
"651295191577","AssumedRole","AWSServiceRoleForResourceExplorer","360"
"651295191577","AssumedRole","terraform-20251111063951537800000002","344"
"693590665244","AssumedRole","terraform-20251111060049796700000003","344"
"693590665244","AssumedRole","cdk-hnb659fds-deploy-role-693590665244-us-east-2","230"
"693590665244","AssumedRole","GitHubActionsDeploymentRole-us-east-2-693590665244","218"
"045107234435","AssumedRole","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-2","208"
"045107234435","AssumedRole","cdk-hnb659fds-deploy-role-045107234435-us-east-1","198"
"045107234435","AssumedRole","GitHubActionsDeploymentRole-us-east-2-045107234435","196"
"693590665244","AssumedRole","AWSServiceRoleForAmazonSSM","145"
"045107234435","AssumedRole","cdk-hnb659fds-deploy-role-045107234435-us-east-2","143"
"651295191577","AssumedRole","GitHubActionsDeploymentRole-us-east-2-651295191577","124"
"045107234435","AssumedRole","youtube_video_generator-role","104"
"693590665244","AssumedRole","cdk-hnb659fds-file-publishing-role-693590665244-us-east-1","18"
"693590665244","AssumedRole","cdk-hnb659fds-file-publishing-role-693590665244-us-east-2","18"
"045107234435","AssumedRole","cdk-hnb659fds-file-publishing-role-045107234435-us-east-2","15"
"045107234435","AssumedRole","BackupWebsiteBucket-BackupBucketSSMReplicatorReplic-WFSa2WZ86Sy2","14"
"045107234435","AssumedRole","BackupWebsiteBucket-BackupBucketSSMReplicatorSSMPar-ftq8WLZXq0kX","12"
"045107234435","AssumedRole","Website-CustomCDKBucketDeployment8693BB64968944B69A-sl8e1XdbfMqC","12"
"693590665244","AssumedRole","Website-CustomCDKBucketDeployment8693BB64968944B69-MN1LB8U9WLIR","12"
"045107234435","AssumedRole","ACMCertificates-ACMCertsSSMReplicatorReplicateSSMPr-Sx29jGskZtv0","12"
"045107234435","AssumedRole","BackupWebsiteBucket-BackupBucketSSMReplicatorV2SSMP-65blc2k4xlNs","11"
"693590665244","AssumedRole","BackupWebsiteBucket-BackupBucketSSMReplicatorV2SSMP-KXiw4FChHldW","11"
"045107234435","AssumedRole","cdk-hnb659fds-file-publishing-role-045107234435-us-east-1","9"
"045107234435","AssumedRole","ACMCertificates-ACMCertsSSMReplicatorSSMParamReplic-LCsH7xBnXvIb","8"
"693590665244","AssumedRole","cdk-hnb659fds-image-publishing-role-693590665244-us-east-1","8"
"362055466028","AssumedRole","AWSServiceRoleForSSO","7"
"045107234435","AssumedRole","ACMCertificates-ACMCertsSSMReplicatorV2SSMParamRepl-dfftIuOn5VeN","7"
"693590665244","AssumedRole","ACMCertificates-ACMCertsSSMReplicatorV2SSMParamRepl-bVZhXyGqewuo","7"
"045107234435","AssumedRole","AWSServiceRoleForCloudTrail","4"
"151676528673","AssumedRole","AWSServiceRoleForCloudTrail","3"
"693590665244","AssumedRole","BackupWebsiteBucket-BackupBucketSSMReplicatorV2Repl-yZG85VzCGs3z","2"
"045107234435","AssumedRole","cdk-hnb659fds-image-publishing-role-045107234435-us-east-1","2"
"045107234435","AssumedRole","ACMCertificates-ACMCertsSSMReplicatorV2ReplicateSSM-hokqtC1s51Za","2"
"693590665244","AssumedRole","ACMCertificates-ACMCertsSSMReplicatorV2ReplicateSSM-Cn9N4CGpwshk","2"
"045107234435","AssumedRole","BackupWebsiteBucket-BackupBucketSSMReplicatorV2Repl-hnIZkYJiteN7","2"
"151676528673","AssumedRole","AWSReservedSSO_AdministratorAccess_1c0f4baf613c3648","1"
"045107234435","AssumedRole","AWSReservedSSO_AdministratorAccess_8b1adb3a42ed1bdc","1"
